year,month,day,MaxTemp,MinTemp,isRain
2017,01,1,20.8,18.4,0
2017,01,2,23.3,18.4,0
2017,01,3,21.3,18.9,0
2017,01,4,21.7,18.7,0
2017,01,5,23.4,18.9,0
2017,01,6,25.0,19.7,0
2017,01,7,22.8,19.7,0
2017,01,8,25.5,20.5,0
2017,01,9,21.8,19.7,0
2017,01,10,20.5,18.8,0
2017,01,11,19.7,18.2,0
2017,01,12,20.3,16.9,0
2017,01,13,17.1,15.1,1
2017,01,14,16.5,14.5,1
2017,01,15,16.8,14.3,1
2017,01,16,17.4,14.7,1
2017,01,17,19.2,16.7,0
2017,01,18,20.0,18.0,0
2017,01,19,24.1,18.7,0
2017,01,20,20.6,16.2,0
2017,01,21,19.0,14.6,0
2017,01,22,19.8,13.6,0
2017,01,23,19.4,15.2,0
2017,01,24,18.9,15.7,0
2017,01,25,20.9,15.9,0
2017,01,26,19.8,16.2,0
2017,01,27,21.3,14.4,0
2017,01,28,18.8,16.4,1
2017,01,29,21.5,18.1,1
2017,01,30,23.4,17.4,1
2017,01,31,17.6,15.9,1
2017,02,1,22.0,16.6,0
2017,02,2,17.7,16.2,0
2017,02,3,19.6,15.4,0
2017,02,4,20.9,16.3,1
2017,02,5,22.0,16.7,1
2017,02,6,19.7,16.9,0
2017,02,7,18.7,15.9,0
2017,02,8,20.6,15.5,0
2017,02,9,16.8,11.1,0
2017,02,10,15.6,10.8,0
2017,02,11,17.9,11.5,0
2017,02,12,19.1,12.5,0
2017,02,13,20.1,13.1,0
2017,02,14,21.1,15.6,0
2017,02,15,20.9,15.3,0
2017,02,16,24.0,15.4,0
2017,02,17,25.4,17.1,0
2017,02,18,24.1,18.0,0
2017,02,19,19.1,16.4,1
2017,02,20,25.5,18.3,0
2017,02,21,21.1,16.6,1
2017,02,22,21.3,16.4,1
2017,02,23,20.2,15.0,0
2017,02,24,15.1,12.0,0
2017,02,25,13.8,10.7,1
2017,02,26,17.0,10.6,1
2017,02,27,19.8,15.4,0
2017,02,28,20.8,15.1,0
2017,03,1,22.9,15.9,0
2017,03,2,23.9,17.2,0
2017,03,3,20.1,15.7,0
2017,03,4,21.8,16.8,0
2017,03,5,24.0,18.7,0
2017,03,6,23.5,17.9,0
2017,03,7,20.7,17.1,0
2017,03,8,17.3,15.0,1
2017,03,9,19.6,16.0,0
2017,03,10,19.2,16.4,0
2017,03,11,18.4,16.7,0
2017,03,12,19.5,17.0,1
2017,03,13,24.4,19.4,0
2017,03,14,22.0,16.8,1
2017,03,15,17.9,16.2,0
2017,03,16,19.0,16.8,0
2017,03,17,20.4,17.0,0
2017,03,18,20.1,17.4,1
2017,03,19,20.6,18.9,1
2017,03,20,27.1,18.6,0
2017,03,21,27.6,19.1,1
2017,03,22,19.7,17.6,1
2017,03,23,24.6,19.0,0
2017,03,24,22.4,18.9,0
2017,03,25,23.4,16.5,0
2017,03,26,16.9,13.8,1
2017,03,27,21.5,16.3,0
2017,03,28,24.9,18.1,0
2017,03,29,23.7,20.4,1
2017,03,30,23.1,21.0,0
2017,03,31,23.7,15.5,1
2017,04,1,23.9,15.5,1
2017,04,2,24.2,17.0,0
2017,04,3,24.5,17.5,0
2017,04,4,26.0,19.3,0
2017,04,5,27.9,20.9,0
2017,04,6,25.0,22.5,1
2017,04,7,27.9,22.6,0
2017,04,8,27.5,23.0,0
2017,04,9,27.9,23.5,0
2017,04,10,28.1,26.3,0
2017,04,11,27.8,22.2,1
2017,04,12,22.8,18.2,1
2017,04,13,21.5,18.8,0
2017,04,14,24.7,19.9,0
2017,04,15,26.9,21.6,0
2017,04,16,30.2,23.0,0
2017,04,17,29.4,23.7,0
2017,04,18,30.7,23.9,0
2017,04,19,29.4,24.7,0
2017,04,20,27.5,25.1,1
2017,04,21,29.4,22.8,1
2017,04,22,24.5,18.5,1
2017,04,23,21.8,19.9,1
2017,04,24,22.8,20.9,0
2017,04,25,22.9,20.7,1
2017,04,26,26.8,22.4,1
2017,04,27,24.0,20.6,1
2017,04,28,24.8,20.2,0
2017,04,29,27.3,19.9,0
2017,04,30,28.2,21.4,0
2017,05,1,29.5,22.6,0
2017,05,2,28.1,24.3,0
2017,05,3,31.3,25.6,0
2017,05,4,27.6,22.9,1
2017,05,5,29.8,23.4,0
2017,05,6,31.1,25.3,0
2017,05,7,27.7,24.8,1
2017,05,8,28.6,23.1,1
2017,05,9,29.3,22.6,1
2017,05,10,29.6,25.3,0
2017,05,11,31.6,25.7,0
2017,05,12,30.7,26.0,0
2017,05,13,26.6,24.5,1
2017,05,14,29.5,24.8,0
2017,05,15,27.0,24.6,1
2017,05,16,26.6,23.6,1
2017,05,17,29.9,23.8,0
2017,05,18,27.4,24.3,1
2017,05,19,26.0,23.7,1
2017,05,20,24.8,22.7,1
2017,05,21,24.9,23.0,1
2017,05,22,25.2,23.8,1
2017,05,23,28.5,24.6,1
2017,05,24,26.2,24.2,1
2017,05,25,28.5,23.9,0
2017,05,26,26.8,23.9,0
2017,05,27,30.4,24.0,0
2017,05,28,30.5,24.8,0
2017,05,29,30.3,24.9,0
2017,05,30,30.9,25.1,0
2017,05,31,31.3,25.6,0
2017,06,1,30.6,27.8,0
2017,06,2,30.6,28.6,0
2017,06,3,32.5,28.5,0
2017,06,4,31.2,29.3,0
2017,06,5,33.5,28.8,0
2017,06,6,33.8,28.5,0
2017,06,7,34.0,27.2,1
2017,06,8,32.5,28.3,0
2017,06,9,31.9,28.1,1
2017,06,10,33.8,28.0,0
2017,06,11,34.1,28.1,0
2017,06,12,30.0,25.3,1
2017,06,13,28.9,24.3,1
2017,06,14,29.5,25.5,1
2017,06,15,31.1,26.8,1
2017,06,16,29.6,27.8,1
2017,06,17,28.4,24.4,1
2017,06,18,27.3,24.7,1
2017,06,19,28.3,25.3,1
2017,06,20,28.2,25.2,1
2017,06,21,29.2,25.2,1
2017,06,22,32.4,28.0,0
2017,06,23,31.6,27.5,1
2017,06,24,30.8,26.4,1
2017,06,25,31.5,26.8,1
2017,06,26,32.0,28.6,1
2017,06,27,31.5,28.6,1
2017,06,28,32.3,28.2,0
2017,06,29,32.8,27.9,0
2017,06,30,33.7,27.6,0
2017,07,1,31.7,26.7,1
2017,07,2,30.3,26.2,1
2017,07,3,30.7,26.7,1
2017,07,4,28.6,25.3,1
2017,07,5,31.0,26.5,1
2017,07,6,28.7,25.8,1
2017,07,7,29.8,26.0,1
2017,07,8,28.9,26.3,1
2017,07,9,32.3,27.1,1
2017,07,10,32.1,27.5,1
2017,07,11,32.7,27.6,0
2017,07,12,32.9,27.9,0
2017,07,13,33.5,28.2,0
2017,07,14,32.8,27.4,1
2017,07,15,32.1,27.0,1
2017,07,16,28.5,26.1,1
2017,07,17,28.8,24.4,1
2017,07,18,27.8,24.6,1
2017,07,19,30.8,24.5,1
2017,07,20,30.8,27.2,1
2017,07,21,32.2,27.6,1
2017,07,22,33.1,26.5,1
2017,07,23,28.8,25.6,1
2017,07,24,31.2,25.8,1
2017,07,25,33.1,27.7,0
2017,07,26,34.4,27.1,0
2017,07,27,30.6,28.0,0
2017,07,28,34.4,28.1,0
2017,07,29,33.8,28.8,0
2017,07,30,34.8,29.6,0
2017,07,31,32.4,29.8,0
2017,08,1,33.2,28.3,1
2017,08,2,31.0,27.3,1
2017,08,3,29.8,25.3,1
2017,08,4,29.3,25.9,1
2017,08,5,34.0,27.1,1
2017,08,6,32.9,28.5,0
2017,08,7,33.0,27.3,1
2017,08,8,32.8,28.4,1
2017,08,9,31.0,26.3,1
2017,08,10,31.4,27.6,1
2017,08,11,31.6,28.9,1
2017,08,12,32.5,29.0,0
2017,08,13,32.4,28.6,0
2017,08,14,32.5,28.8,0
2017,08,15,32.9,28.1,1
2017,08,16,31.2,28.2,0
2017,08,17,33.0,27.9,0
2017,08,18,34.3,28.1,0
2017,08,19,34.0,28.4,0
2017,08,20,33.4,28.5,0
2017,08,21,34.5,28.6,0
2017,08,22,36.6,28.0,1
2017,08,23,29.5,25.4,1
2017,08,24,31.5,27.3,0
2017,08,25,32.7,27.8,1
2017,08,26,34.3,26.2,1
2017,08,27,26.9,24.0,1
2017,08,28,26.3,24.5,1
2017,08,29,31.4,24.6,0
2017,08,30,31.6,27.0,1
2017,08,31,32.8,26.2,1
2017,09,1,31.7,26.1,1
2017,09,2,30.4,26.4,1
2017,09,3,29.9,25.6,1
2017,09,4,27.6,25.3,1
2017,09,5,30.7,25.9,1
2017,09,6,32.3,27.3,0
2017,09,7,30.7,27.5,1
2017,09,8,30.9,26.9,1
2017,09,9,32.0,26.0,1
2017,09,10,32.2,26.7,0
2017,09,11,32.4,27.6,0
2017,09,12,32.8,27.9,1
2017,09,13,34.0,28.3,0
2017,09,14,31.5,27.6,0
2017,09,15,33.2,27.8,0
2017,09,16,32.6,27.7,0
2017,09,17,32.6,28.5,0
2017,09,18,32.9,27.8,0
2017,09,19,32.2,27.6,0
2017,09,20,32.0,27.6,1
2017,09,21,32.0,27.9,0
2017,09,22,32.0,26.1,1
2017,09,23,31.4,26.7,1
2017,09,24,30.5,27.1,1
2017,09,25,31.9,27.7,1
2017,09,26,32.9,27.8,0
2017,09,27,33.0,27.7,0
2017,09,28,34.1,28.2,0
2017,09,29,33.1,28.8,0
2017,09,30,30.3,25.9,1
2017,10,1,30.1,27.6,1
2017,10,2,32.7,26.4,1
2017,10,3,33.5,28.3,0
2017,10,4,31.0,27.5,1
2017,10,5,30.3,27.5,0
2017,10,6,31.1,27.4,1
2017,10,7,31.7,27.9,0
2017,10,8,31.5,27.3,0
2017,10,9,30.9,28.1,0
2017,10,10,32.3,28.6,0
2017,10,11,32.5,28.3,1
2017,10,12,32.7,27.6,0
2017,10,13,30.6,24.5,0
